Name	Weapon type	Weapon category	Weapon group	Trait	Damage	Hands	Range	Reload	Bulk	Price	Level
Sap	Melee	Martial	Club	"Agile, Nonlethal"	1d6 B	1			L	1 sp	0
Sawtooth Saber	Melee	Advanced	Sword	"Agile, Finesse, Twin, Uncommon"	1d6 S	1			L	5 gp	0
Scimitar	Melee	Martial	Sword	"Forceful, Sweep"	1d6 S	1			1	1 gp	0
Scizore	Melee	Martial	Knife	"Disarm, Parry"	1d6 S	1			L	9 sp	0
Scorpion Whip	Melee	Martial	Flail	"Disarm, Finesse, Reach, Trip, Uncommon"	1d4 S	1			L	5 sp	0
Scourge	Melee	Martial	Flail	"Agile, Disarm, Finesse, Nonlethal, Sweep"	1d4 S	1			1	1 sp	0
Scythe	Melee	Martial	Polearm	"Deadly d10, Trip"	1d10 S	2			2	2 gp	0
Shauth Blade	Melee	Martial	Knife	"Agile, Deadly d8, Finesse, Uncommon, Versatile P"	1d4 S	1			L	2 gp	0
Shauth Lash	Melee	Advanced	Flail	"Deadly d10, Finesse, Trip, Uncommon"	1d6 S	2			1	8 gp	0
Shears	Melee	Simple	Knife	"Deadly d8, Finesse, Versatile P"	1d4 S	1			L	5 sp	0
Shield Bash	Melee	Martial	Shield		1d4 B	1					0
Shield Boss	Melee	Martial	Shield	Attached to Shield	1d6 B	1				5 sp	0
Shield Bow	Ranged	Martial	Bow	"Deadly d8, Parry"	1d6 P	1	50 ft.	0	1	5 gp	0
Shield Pistol	Ranged	Simple	Firearm	"Attached to shield, Concussive, Fatal d8, Uncommon"	1d4 P	1	20 ft.	1	1	6 gp	0
Shield Spikes	Melee	Martial	Shield	Attached to Shield	1d6 P	1				5 sp	0
Shobhad Longrifle	Ranged	Martial	Firearm	"Backstabber, Concussive, Fatal d12, Kickback, Rare, Volley"	1d8 P	2	120 ft.	1	1	20 gp	1
Shortbow	Ranged	Martial	Bow	Deadly d10	1d6 P	1	60 ft.	0	1	3 gp	0
Shortsword	Melee	Martial	Sword	"Agile, Finesse, Versatile S"	1d6 P	1			L	9 sp	0
Shuriken	Ranged	Martial	Dart	"Agile, Monk, Thrown, Uncommon"	1d4 P	1	20 ft.	0		1 cp	0
Sickle	Melee	Simple	Knife	"Agile, Finesse, Trip"	1d4 S	1			L	2 sp	0
Sickle-Saber	Melee	Advanced	Sword	"Backswing, Forceful, Uncommon"	1d6 S	1			1	5 gp	0
Slide Pistol	Ranged	Martial	Firearm	"Capacity 5, Concussive, Fatal d10, Uncommon"	1d6 P	1	30 ft.	1	2	16 gp	1
Sling	Ranged	Simple	Sling	Propulsive	1d6 B	1	50 ft.	1	L		0
Sling Bullets	Ranged	Ammunition	Sling						L	1 cp (price for 10)	0
Spear	Melee	Simple	Spear	"Monk, Thrown 20 ft."	1d6 P	1			1	1 sp	0
Spiked Chain	Melee	Martial	Flail	"Disarm, Finesse, Trip, Uncommon"	1d8 S	2			1	3 gp	0
Spiked Gauntlet	Melee	Simple	Brawling	"Agile, Free-Hand"	1d4 P	1			L	3 sp	0
Spiral Rapier	Melee	Advanced	Sword	"Disarm, Finesse, Parry, Uncommon"	1d6 P	1			1	5 gp	0
Spoon Gun	Ranged	Martial	Firearm	"Cobbled, Goblin, Modular B, P, or S, Scatter 5 ft., Uncommon"	1d6 modular	1	30 ft.	1	1	10 gp	1
Spray Pellet	Ranged	Ammunition	Sling						L	1 sp (price for 10)	0
Spraysling	Ranged	Martial	Sling	"Halfling, Propulsive, Scatter 5 ft., Uncommon"	1d6 B	1	20 ft.	1	L	1 gp	0
Staff	Melee	Simple	Club	"Monk, Two-Hand 1d8"	1d4 B	1			1		0
Starknife	Melee	Martial	Knife	"Agile, Deadly d6, Finesse, Thrown 20 ft., Versatile S"	1d4 P	1			L	2 gp	0
Stiletto Pen	Melee	Simple	Dart	"Agile, Concealable, Finesse, Thrown 10 ft., Uncommon"	1d4 P	1			L	8 gp	1
Sukgung	Ranged	Martial	Bow	Fatal Aim d12	1d8 P	1	200 ft.	1	1	7 gp	1
Sun Shot	Ranged	Ammunition	Sling	"Concussive, Propulsive, Uncommon"					L	1 sp (for 10)	0
Sun Sling	Ranged	Martial	Sling	"Concussive, Propulsive, Uncommon"	1d8 P	1	100 ft.	1	L	3 gp	0
Switchscythe	Melee	Advanced	Pick	"Fatal d10, Gnome, Modular (P and grapple, or S and sweep), Uncommon"	1d6 P	1			2	12 gp	1
Sword Cane	Melee	Martial	Sword	"Agile, Concealable, Finesse"	1d6 P	1			1	5 gp	0
Talwar	Melee	Martial	Sword	"Forceful, Two-Hand d10, Versatile P"	1d6 S	1			1	2 gp	0
Tamchal Chakram	Melee	Advanced	Dart	"Agile, Deadly d6, Finesse, Thrown 20 feet, Uncommon"	1d6 S	1			L	5 gp	0
Taw Launcher	Ranged	Advanced	Bow	"Conrasu, Deadly d10, Modular (B, P, or S), Uncommon"	1d10 modular	2	100 ft.	1	1	10 gp	0
Tekko-Kagi	Melee	Martial	Brawling	"Agile, Disarm, Finesse, Free-Hand, Monk, Parry, Uncommon"	1d4 S	1			L	2 sp	0
Temple Sword	Melee	Martial	Sword	"Monk, Trip, Uncommon"	1d8 S	1			1	2 gp	0
Tengu Gale Blade	Melee	Martial	Sword	"Agile, Disarm, Finesse, Tengu, Uncommon"	1d6 S	1			L	4 gp	0
Tetsubo	Melee	Martial	Club	"Razing, Shove, Sweep, Uncommon"	1d10 B	2			3	3 gp	0
Thorn Whip	Melee	Martial	Brawling	"Disarm, Finesse, Ghoran, Reach, Trip, Uncommon"	1d4 P	1			1	6 sp	0
Three Peaked Tree	Ranged	Martial	Firearm	"Combination, Concussive, Elf, Fatal d10, Parry, Uncommon"	1d6 P	2	60 ft.	1	2	12 gp	1
Three Peaked Tree	Melee	Martial	Spear	"Critical Fusion, Elf, Tethered, Thrown 20 ft., Uncommon, Combination, Uncommon"	1d8 P	2			2	12 gp	1
Three-Section Naginata	Melee	Advanced	Flail	"Deadly d8, Forceful, Sweep, Uncommon, Versatile B"	1d8 S	2			2	12 gp	0
Throwing Knife	Melee	Simple	Knife	"Agile, Finesse, Thrown 20 ft."	1d4 P	1			L	3 sp	0
Thunder Sling	Ranged	Martial	Sling	"Agile, Propulsive, Tengu, Uncommon"	1d6 P	1	50 ft.	1	L	5 gp	0
Thundermace	Melee	Simple	Club	"Backswing, Uncommon"	1d8 B	2			2	2 sp	0
Tonfa	Melee	Martial	Brawling	"Agile, Finesse, Monk, Parry, Twin, Uncommon"	1d4	1			L	1 sp	0
Tri-Bladed Katar	Melee	Simple	Knife	"Disarm, Fatal d8, Monk, Uncommon"	1d4 P	1			L	8 sp	0
Tricky Pick	Melee	Advanced	Pick	"Backstabber, Fatal 1d10, Kobold, Modular (B, P, or S), Uncommon"	1d6 modular	1			1	10 gp	0
Trident	Melee	Martial	Spear	Thrown 20 ft.	1d8 P	1			1	1 gp	0
Triggerbrand	Ranged	Martial	Firearm	"Combination, Concussive, Fatal d8, Uncommon"	1d4 P	1	30 ft.	1	1	10 gp	0
Triggerbrand	Melee	Martial	Sword	"Critical Fusion, Finesse, Versatile S, Combination, Uncommon"	1d6 P	1			1	10 gp	0
Umbrella Injector	Melee	Martial	Sword	"Concealable, Finesse, Injection, Parry, Uncommon"	1d4 P	1			1	4 gp	0
Urumi	Melee	Martial	Flail	"Deadly d10, Sweep, Uncommon"	1d6 S	1			2	2 gp	0
Visap	Melee	Advanced	Knife	"Agile, Finesse, Injection, Uncommon, Versatile P, Vishkanya"	1d4 S	1			L	2 gp	0
Wakizashi	Melee	Martial	Sword	"Agile, Deadly d8, Finesse, Uncommon, Versatile P"	1d4 S	1			L	1 gp	0
War Flail	Melee	Martial	Flail	"Disarm, Sweep, Trip"	1d10 B	2			2	2 gp	0
War Lance	Melee	Martial	Spear	"Deadly d8, Jousting d6, Parry, Shove, Uncommon"	1d8 P	2			2	4 gp	0
War Razor	Melee	Martial	Knife	"Agile, Backstabber, Deadly d8, Finesse"	1d4 S	1			L	3 sp	0
Warhammer	Melee	Martial	Hammer	Shove	1d8 B	1			1	1 gp	0
Wheel Blades	Melee	Simple	Sword	"Agile, Attached, Free-Hand"	1d4 S	1				5 sp	0
Wheel Spikes	Melee	Simple	Knife	"Agile, Attached, Free-Hand"	1d4 P	1				5 sp	0
Whip	Melee	Martial	Flail	"Disarm, Finesse, Nonlethal, Reach, Trip"	1d4 S	1			1	1 sp	0
Whip Claw	Melee	Advanced	Flail	"Catfolk, Finesse, Hampering, Reach, Uncommon"	1d6 S	2			1	5 gp	0
Whipstaff	Melee	Martial	Club	"Agile, Finesse, Monk, Parry, Sweep, Uncommon"	1d6 B	2			L	3 gp	0
Wish Blade	Melee	Martial	Sword	"Disarm, Geniekin, Resonant, Two-Hand 1d10, Uncommon"	1d6 S	1			1	5 gp	0
Wish Knife	Melee	Martial	Knife	"Agile, Disarm, Finesse, Geniekin, Resonant, Uncommon, Versatile S"	1d4 P	1			L	2 gp	0
Wooden Taws	Ranged	Ammunition	Bow						L	1 sp (price for 10)	0
Wrecker	Ranged	Advanced	Sling	"Combination, Dwarf, Ranged Trip, Razing"	1d6 B	2	20 ft.	1	2	8 gp	0
Wrecker	Melee	Advanced	Flail	"Dwarf, Razing, Reach, Combination"	1d8 B	2			2	8 gp	0
Wrist Launcher	Ranged	Martial	Dart	"Agile, Concealable, Free-Hand, Uncommon"	1d4 P	1	30 ft.	1	1	3 gp	0
Zulfikar	Melee	Advanced	Sword	"Deadly d8, Disarm, Sweep, Uncommon, Versatile P"	1d6 S	1			1	4 gp	0
